charite_doi,reusing_paper_doi,publication_year,authors,publication_year_reusing,authors_reusing
10.1038/s41597-019-0254-8,10.1038/s44220-023-00128-7,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2023,Jacob L. Stubbs;Joseph J. Taylor;Shan Siddiqi;Frédéric Schaper;Alexander L. Cohen;William Drew;Colleen A. Hanlon;Amir Abdolahi;Henry Z. Wang;William G. Honer;William J. Panenka;Michael Fox
10.1038/s41597-019-0254-8,10.1093/brain/awaa148,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2020,Philip Mosley;Saee Paliwal;Katherine Robinson;Terry Coyne;Peter A. Silburn;Marc Tittgemeyer;Klaas Ε. Stephan;Alistair Perry;Michael Breakspear
10.1038/s41597-019-0254-8,10.1093/cercor/bhab500,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2021,Daniel Bullock;Elena A. Hayday;Mark D. Grier;Wei Tang;Franco Pestilli;Sarah R. Heilbronner
10.1038/s41597-019-0254-8,10.1016/j.neuroimage.2021.118649,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2021,Chengyuan Wu;Francisca Ferreira;Michael Fox;Noam Harel;Jona A. Hattangadi‐Gluth;Andreas Horn;Saâd Jbabdi;Joshua Kahan;Ashwini Oswal;Sameer A. Sheth;Yanmei Tie;Vejay N. Vakharia;Ludvic Zrinzo;Harith Akram
10.1038/s41597-019-0254-8,10.1007/s13311-021-01057-y,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2021,Cristina V. Torres;Gabriel González‐Escamilla;Dumitru Ciolac;Marta Navas García;Paloma Pulido;Rafael G. Sola;Antonio Barbosa;Jesús Pastor;Lorena Vega-Zelaya;Sergiu Groppa
10.1038/s41597-019-0254-8,10.3389/fneur.2021.785529,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2021,Florian Lange;Frank Steigerwald;Tobias Malzacher;Gregor A. Brandt;Thorsten Odorfer;Jonas Roothans;Martin M. Reich;Patrick Fricke;Jens Volkmann;Cordula Matthies;Philipp Capetian
10.1038/s41597-019-0254-8,10.1016/j.neuroimage.2023.119964,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2023,Sevil Ince;Trevor Steward;Ben J. Harrison;Alec Jamieson;Christopher G. Davey;James Agathos;Bradford A. Moffat;Rebecca Glarin;Kim L. Felmingham
10.1038/s41597-019-0254-8,10.1002/ana.26652,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2023,Julian Conrad;Bernhard Baier;Laurenz Eberle;Ria Maxine Ruehl;Rainer Boegle;Andreas Zwergal;Marianne Dieterich
10.1038/s41597-019-0254-8,10.1093/cercor/bhab487,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2021,Ben J. Harrison;Christopher G. Davey;Hannah S. Savage;Alec Jamieson;Christine A. Leonards;Bradford A. Moffat;Rebecca Glarin;Trevor Steward
10.1038/s41597-019-0254-8,10.1016/j.biopsych.2023.12.010,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2023,Garance M. Meyer;Barbara Hollunder;Ningfei Li;Konstantin Butenko;Till A. Dembek;Lauren Hart;Cristina Nombela;Philip Mosley;Harith Akram;Nicola Acevedo;Benjamin M. Borron;Tina Chou;Juan Pablo Castaño Montoya;Bryan A. Strange;Juan A. Barcia;Himanshu Tyagi;David Castle;Andrew H. Smith;Ki Sueng Choi;Brian H. Kopell;Helen S. Mayberg;Sameer A. Sheth;Wayne K. Goodman;Albert F.G. Leentjens;R. Mark Richardson;Susan L. Rossell;Peter Bosanac;G. Rees Cosgrove;Jens Kuhn;Veerle Visser‐Vandewalle;Martijn Figee;Darin D. Dougherty;Shan Siddiqi;Ludvic Zrinzo;Eileen M. Joyce;Juan Carlos Baldermann;Michael Fox;Clemens Neudorfer;Andreas Horn
10.1038/s41597-019-0254-8,10.3174/ajnr.a6693,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2020,Erik H. Middlebrooks;Ricardo A. Domingo;Tito Vivas-Buitrago;Lela Okromelidze;Takashi Tsuboi;Joshua K. Wong;Robert S. Eisinger;Leonardo Almeida;Matthew R. Burns;Andreas Horn;Ryan J. Uitti;Robert E. Wharen;Vanessa M. Holanda;Sanjeet S. Grewal
