"doi_charite","publication_year_charite","doi_dcc","publication_year_dcc","lag"
"10.1038/s41588-023-01561-1",2023,"10.1371/journal.pone.0073956",2013,-10
"10.1038/s41588-023-01561-1",2023,"10.3390/ncrna5030047",2019,-4
"10.1038/s41588-023-01422-x",2023,"10.1002/art.40040",2017,-6
"10.1038/s41467-020-18367-y",2020,"10.1161/jaha.117.008160",2018,-2
"10.1038/s41591-023-02397-2",2023,"10.1371/journal.pgen.1006811",2017,-6
"10.1038/s41591-023-02397-2",2023,"10.1038/s42003-022-03304-0",2022,-1
"10.1038/s41591-023-02397-2",2023,"10.1016/j.ajhg.2019.08.011",2019,-4
"10.1038/s41591-023-02397-2",2023,"10.1002/mds.28197",2020,-3
"10.1016/j.xhgg.2022.100166",2022,"10.1007/s00439-019-02099-1",2019,-3
"10.1038/s41467-023-39253-3",2023,"10.1007/s00125-022-05653-1",2022,-1
"10.1038/s41467-023-39253-3",2023,"10.1016/j.bpsgos.2021.06.005",2021,-2
"10.1038/s41467-023-39253-3",2023,"10.1161/atvbaha.121.316324",2021,-2
"10.1038/s41467-023-39253-3",2023,"10.1161/circulationaha.121.053797",2021,-2
"10.1038/s41467-023-39253-3",2023,"10.1038/s41467-022-31080-2",2022,-1
"10.1038/s41467-023-39253-3",2023,"10.1371/journal.pmed.1003302",2020,-3
"10.1038/s41467-023-39253-3",2023,"10.3389/fgene.2021.740134",2021,-2
"10.1038/s41467-023-39253-3",2023,"10.1038/s41467-020-18489-3",2020,-3
"10.1038/s41467-023-39253-3",2023,"10.1016/j.biopsych.2021.09.020",2021,-2
"10.1038/s41467-023-39253-3",2023,"10.1002/gepi.22440",2022,-1
"10.1038/s41467-023-39253-3",2023,"10.1371/journal.pgen.1009802",2021,-2
"10.1038/s41467-023-39253-3",2023,"10.1007/s00125-022-05806-2",2022,-1
"10.1038/s41467-023-39253-3",2023,"10.1038/s41467-019-09480-8",2019,-4
"10.1038/s41467-023-39253-3",2023,"10.1038/s41398-022-02029-2",2022,-1
"10.1038/s41467-023-39253-3",2023,"10.1161/jaha.122.025644",2022,-1
"10.1038/s41467-023-39253-3",2023,"10.1038/s41380-022-01544-4",2022,-1
"10.1038/s41467-023-39253-3",2023,"10.1093/bioinformatics/btac512",2022,-1
"10.1038/s41467-021-26061-w",2021,"10.1128/msphere.00464-20",2020,-1
"10.1038/s41467-021-26061-w",2021,"10.1128/msphere.00463-20",2020,-1
