"unique_id","doi","doi_no_ver_info","data_id","data_id_merged","data_access","in_dashboard","source","listed_in_numbat_output","validated","Category","covid_related","human_data","dataset_is_doi","repository","charite_id_year","in_dcc"
1455,"10.1038/s42003-021-02664-3","10.1038/s42003-021-02664-3","https://doi.org/10.5281/zenodo.5235706","10.5281/zenodo.5235706","yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"TRUE",NA,NA,"FALSE"
74,"10.1186/s12916-023-03161-6","10.1186/s12916-023-03161-6","10.5281/zenodo.8181414.","10.5281/zenodo.8196347","yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"TRUE",NA,NA,"FALSE"
315,"10.1093/nargab/lqad061","10.1093/nargab/lqad061","10.5281/zenodo.8009560","10.5281/zenodo.8039198","yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"TRUE",NA,NA,"FALSE"
460,"10.1186/s13073-022-01148-1","10.1186/s13073-022-01148-1","https://doi.org/10.15454/flanup","10.15454/flanup","yes",TRUE,"numbat",TRUE,TRUE,"doi",NA,NA,"TRUE",NA,NA,"FALSE"
1849,"10.1038/s41467-020-19002-6","10.1038/s41467-020-19002-6","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse115103","gse115103","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
645,"10.1038/s41467-022-28515-1","10.1038/s41467-022-28515-1","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse162403","gse162403","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
1858,"10.1038/s41586-020-2598-9","10.1038/s41586-020-2598-9","http://flowrepository.org/id/fr-fcm-z2k3","fr-fcm-z2k3","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
1471,"10.1038/s41586-021-04177-9","10.1038/s41586-021-04177-9","https://doi.org/10.5281/zenodo.4728981","10.5281/zenodo.4728981","yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"TRUE",NA,NA,"FALSE"
1771,"10.1038/s41586-021-04116-8","10.1038/s41586-021-04116-8","https://trace.ncbi.nlm.nih.gov/traces/?view=run_browser&acc=srr17009152&display=data-access","srr17009152","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
883,"10.1016/j.isci.2022.104498","10.1016/j.isci.2022.104498","https://www.ebi.ac.uk/biostudies/arrayexpress/studies/e-mtab-5209","e-mtab-5209","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
497,"10.1016/j.isci.2023.106412","10.1016/j.isci.2023.106412","https://doi.org/10.17605/osf.io/u52bx","//osf.io/u52bx","yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"FALSE","osf",NA,"FALSE"
1693,"10.3389/fimmu.2020.609891","10.3389/fimmu.2020.609891","http://www.addgene.org/129027/","129027","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
1841,"10.1038/s41467-020-16641-7","10.1038/s41467-020-16641-7","https://ega-archive.org/studies/egas00001003964","egas00001003964","restricted",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
1451,"10.1007/s00247-021-05109-5","10.1007/s00247-021-05109-5","https://doi.org/10.5281/zenodo.4906565","10.5281/zenodo.4906565","yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"TRUE",NA,NA,"FALSE"
1511,"10.1016/j.celrep.2021.109878","10.1016/j.celrep.2021.109878","https://www.ebi.ac.uk/arrayexpress/experiments/e-mtab-10389/","e-mtab-10389","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,2021,"FALSE"
79,"10.1038/s41375-023-01824-0","10.1038/s41375-023-01824-0","https://ega-archive.org/datasets/egad00001008649","egad00001008649","restricted",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
1415,"10.3389/fphar.2021.640572","10.3389/fphar.2021.640572","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse88710","gse88710","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,2017,"FALSE"
712,"10.7554/elife.75047","10.7554/elife.75047","https://www.ebi.ac.uk/pride/archive/projects/pxd031972","pxd031972","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
403,"10.1038/s41588-023-01485-w","10.1038/s41588-023-01485-w","https://www.ebi.ac.uk/gwas/studies/gcst90271608","gcst90271608","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
1945,"10.7554/elife.58659","10.7554/elife.58659","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse144682","gse144682","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
376,"10.1038/s41467-023-38383-y","10.1038/s41467-023-38383-y","https://www.ebi.ac.uk/pride/archive/projects/pxd040913","pxd040913","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
1028,"10.1161/hypertensionaha.121.18620","10.1161/hypertensionaha.121.18620","https://www.ebi.ac.uk/pride/archive/projects/pxd005802","pxd005802","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
395,"10.1038/s41592-023-02005-8","10.1038/s41592-023-02005-8","10.5281/zenodo.7330129","10.5281/zenodo.7331723","yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"TRUE",NA,NA,"FALSE"
2016,"10.1186/s12917-020-02606-x","10.1186/s12917-020-02606-x","https://doi.org/10.6084/m9.figshare.12830405.v1","10.6084/m9.figshare.12830405","yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"TRUE",NA,NA,"FALSE"
69,"10.1016/j.bioadv.2023.213423","10.1016/j.bioadv.2023.213423","https://doi.org/10.17617/3.nehzn1","10.17617/3.nehzn1","yes",TRUE,"numbat",TRUE,TRUE,"doi",NA,NA,"TRUE",NA,NA,"FALSE"
38,"10.1080/19490976.2023.2259316","10.1080/19490976.2023.2259316","https://www.ncbi.nlm.nih.gov/bioproject/prjna878704/","prjna878704","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
1586,"10.1038/s42255-021-00477-6","10.1038/s42255-021-00477-6","https://www.ebi.ac.uk/pride/archive/projects/pxd011715","pxd011715","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
