"unique_id","doi","doi_no_ver_info","data_id","data_id_auto_cleaned","data_id_no_ex_chr","data_id_m_val","data_id_merged","data_id_secondary","data_access","in_dashboard","source","listed_in_numbat_output","validated","Category","covid_related","human_data","dataset_is_doi","repository","in_dcc","data_availability_statement","charite_id_year","license"
93,"10.3390/pathogens12050685","10.3390/pathogens12050685","https://www.ncbi.nlm.nih.gov/nuccore/oq709085","oq709085","oq709085","","oq709085",NA,"yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE","yes",NA,"no license"
234,"10.2807/1560-7917.es.2023.28.48.2300258","10.2807/1560-7917.es.2023.28.48.2300258","https://www.ncbi.nlm.nih.gov/nuccore/oq725906","oq725906","oq725906","","oq725906",NA,"yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE","yes",NA,"no license"
351,"10.1038/s41467-023-39837-z","10.1038/s41467-023-39837-z","https://www.ncbi.nlm.nih.gov/nuccore/oq948507","oq948507","oq948507","","oq948507",NA,"yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE","yes",NA,"no license"
592,"10.3390/pathogens12091100","10.3390/pathogens12091100","https://www.ncbi.nlm.nih.gov/nuccore/or249959.1","or249959","or249959","","or249959",NA,"yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE","yes",NA,"no license"
2025,"10.1038/s41467-020-15614-0","10.1038/s41467-020-15614-0","https://www.wwpdb.org/pdb?id=pdb_00006tga","pdb_00006tga","pdb_00006tga","","pdb_00006tga",NA,"yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE",NA,NA,NA
1850,"10.1038/s41467-020-19321-8","10.1038/s41467-020-19321-8","https://www.wwpdb.org/pdb?id=pdb_00006yga","pdb_00006yga","pdb_00006yga","","pdb_00006yga",NA,"yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE",NA,NA,NA
1377,"10.1371/journal.ppat.1009775","10.1371/journal.ppat.1009775","https://www.wwpdb.org/pdb?id=pdb_00006zue","pdb_00006zue","pdb_00006zue","","pdb_00006zue",NA,"yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE",NA,NA,"no license"
174,"10.1038/s41589-023-01326-1","10.1038/s41589-023-01326-1","https://www.wwpdb.org/pdb?id=pdb_00007zl3","pdb_00007zl3","pdb_00007zl3","","pdb_00007zl3",NA,"yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE","yes",NA,"no license"
1749,"10.1038/s41586-021-04064-3","10.1038/s41586-021-04064-3","https://www.pgscatalog.org/score/pgs000886/","pgs000886","pgs000886","","pgs000886",NA,"yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE",NA,NA,"no license"
809,"10.1038/s41586-022-05165-3","10.1038/s41586-022-05165-3","https://www.pgscatalog.org/score/pgs002724/","pgs002724","pgs002724","","pgs002724",NA,"yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE","yes",NA,"no license"
1182,"10.1038/s41586-022-04434-5","10.1038/s41586-022-04434-5","https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000021.v3.p2","phs000021.v3.p2","phs000021.v3.p2","phs000021","phs000021",NA,"restricted",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE","ncbi dbgap (database of genotypes and phenotypesgenotypes and phenotypes)","TRUE","yes",2010,"NULL"
2071,"10.1038/s41598-020-66334-w","10.1038/s41598-020-66334-w","https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000090.v7.p1","phs000090.v7.p1","phs000090.v7.p1","phs000090","phs000090",NA,"restricted",TRUE,"numbat",TRUE,TRUE,"acc_nr","FALSE","TRUE","FALSE","ncbi dbgap (database of genotypes and phenotypesgenotypes and phenotypes)","TRUE",NA,1987,NA
1538,"10.1038/s41588-021-00973-1","10.1038/s41588-021-00973-1","https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000101.v3.p1","phs000101.v3.p1","phs000101.v3.p1","phs000101","phs000101",NA,"restricted",TRUE,"numbat",TRUE,TRUE,"acc_nr","FALSE","TRUE","FALSE","ncbi dbgap (database of genotypes and phenotypesgenotypes and phenotypes)","TRUE",NA,2011,"NULL"
1427,"10.3390/cancers13081807","10.3390/cancers13081807","https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000124.v3.p1","phs000124.v3.p1","phs000124.v3.p1","phs000124","phs000124",NA,"restricted",TRUE,"numbat",TRUE,TRUE,"acc_nr","FALSE","TRUE","FALSE","ncbi dbgap (database of genotypes and phenotypesgenotypes and phenotypes)","TRUE",NA,2011,"NULL"
