"doi","publication_year","authors"
"https://doi.org/10.1101/373555",2018,"Hanna M. Ollila;Eilon Sharon;Ling Lin;Nasa Sinnott-Armstrong;Aditya Ambati;Ryan P. Hillary;Otto Jolanki;Juliette Faraco;Mali Einen;Guo Luo;Jing Zhang;Fang Han;Han Yan;Xiao Song Dong;Jing Li;Jun Zhang;Seung‐Chul Hong;Tae Won Kim;Yves Dauvilliers;Lucie Barateau;Gert Jan Lammers;Rolf Fronczek;Geert Mayer;Joan Santamaría;Isabelle Arnulf;Stine Knudsen;May Kristin Lyamouri Bredahl;Per Medbøe Thorsby;Giuseppe Plazzi;Fabio Pizza;Monica Moresco;Catherine Crowe;Stephen K. Van Den Eeden;Michel Lecendreux;Patrice Bourgin;Takashi Kanbayashi;Rosa Peraita‐Adrados;F Martínez-Orozco;Antonio Benetó;Jacques Montplaisir;Alex Désautels;Yu‐Shu Huang;Poul Jennum;Soňa Nevšímalová;David Kemlink;Alex Iranzo;Sebastian Overeem;Aleksandra Wierzbicka;Peter Geisler;Karel Šonka;Makoto Honda;Birgit Högl;Ambra Stefani;Fernando Morgadinho Santos Coelho;Vilma Mantovani;Eva Feketeová;Mia Wadelius;Niclas Eriksson;Hans Smedje;Pär Hallberg;Per Egil Hesla;David B. Rye;Zerrin Pelin;Luigi Ferini‐Strambi;Claudio L. Bassetti;Johannes Mathis;Ramin Khatami;Adi Aran;Sheela Nampoothiri;Tomas Olsson;Ingrid Kockum;Markku Partinen;Markus Perola;Birgitte Rahbek Kornum;Sina Rüeger;Juliane Winkelmann;Taku Miyagawa;Hiromi Toyoda;Seik Soon Khor;Mihoko Shimada;Katsushi Tokunaga;Manuel A. Rivas;Jonathan K. Pritchard;Neil Risch;Zoltán Kutalik;Ruth O’Hara;Joachim Hallmayer;Chun Ye;Emmanuel Mignot"
"https://doi.org/10.1101/740225",2019,"Sebastian Niehus;Hákon Jónsson;Janina Schönberger;Eyþór Björnsson;Doruk Beyter;Hannes P. Eggertsson;Patrick Sulem;Kāri Stefánsson;Bjarni V. Halldórsson;Birte Kehr"
"https://doi.org/10.1101/774976",2019,"Tamer Abdalrahman;Neil H. Davies;Thomas Franz"
"https://doi.org/10.1101/800748",2019,"Jeongbin Park;Wonyl Choi;Sebastian Tiesmeyer;Brian Long;Lars E. Borm;Emma Garren;Thuc Nghi Nguyen;Bosiljka Tasic;Simone Codeluppi;Tobias Graf;Matthias Schlesner;Oliver Stegle;Roland Eils;Naveed Ishaque"
"https://doi.org/10.1101/gr.268599.120",2021,"Dongwon Lee;Ashish Kapoor;Changhee Lee;Michael Mudgett;M Beer;Aravinda Chakravarti"
"https://doi.org/10.1111/ajt.17092",2022,"Philip F. Halloran;Katelynn S. Madill-Thomsen;Shane Pon;Majid L.N. Sikosana;Georg A. Böhmig;Jonathan S. Bromberg;Gunilla Einecke;Farsad Eskandary;Gaurav Gupta;Luis Hidalgo;Marek Myślak;Ondřej Viklický;Agnieszka Perkowska‐Ptasińska"
"https://doi.org/10.1111/jcmm.16015",2020,"Tanzeela Awan;Aaron Babendreyer;Abid Mahmood Alvi;Stefan Düsterhöft;Daniela Lambertz;Jörg W. Bartsch;Christian Liedtke;Andreas Ludwig"
"https://doi.org/10.1111/nan.12862",2022,"Mayen Briggs;Anirban Das;Helen V. Firth;Adrian Levine;Santiago Sánchez‐Ramírez;Logine Negm;Ayse B. Ercan;Jill Chung;Vanessa Bianchi;Ibrahim Jalloh;Poe Phyu;Nicky Thorp;Richard G. Grundy;Cynthia Hawkins;Jamie Trotman;Patrick Tarpey;Uri Tabori;Kieren Allinson;Matthew J. Murray"
"https://doi.org/10.1111/nan.12872",2022,"Megha Murthy;Gemma Shireby;Yasuo Miki;Emmanuelle Viré;Tammaryn Lashley;Thomas T. Warner;Jonathan Mill;Conceição Bettencourt"
"https://doi.org/10.1128/msphere.00463-20",2020,"Bhagyashree N. Swarge;Wishwas Abhyankar;Martijs J. Jonker;Huub C. J. Hoefsloot;Gertjan Kramer;Peter Setlow;Stanley Brul;Leo J. de Koning"
"https://doi.org/10.1128/msphere.00464-20",2020,"Bhagyashree N. Swarge;Chahida Nafid;Norbert O. E. Vischer;Gertjan Kramer;Peter Setlow;Stanley Brul"
"https://doi.org/10.1136/bmjopen-2021-053096",2021,"Maia Salholz-Hillel;Peter Grabitz;Molly Pugh-Jones;Daniel Strech;Nicholas DeVito"
